Loại hàng;Nhóm hàng(3 Cấp);Mã hàng;Tên hàng;Thương hiệu;Giá bán;Giá vốn;Tồn kho;Hình ảnh (url1,url2...);Thời gian tạo
Hàng hóa;cáp sạc;SP000129;dây 3 đầu usb baseus;hoco;500.000,00;100.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/08/18/maxpromobile/04e51f2c6737402b967ca6d00b55727f.jpeg;18/08/2026 9:32
Hàng hóa;phụ kiện;SP000128;usb 2tb;hoco;1.300.000,00;300.000,00;3;https://cdn1-retail-images.kiotviet.vn/2026/08/18/maxpromobile/f85379c97b464000ac7f42527663ac87.jpeg;18/08/2026 9:30
Hàng hóa;sạc dự phòng;SP000127;s146 sdp 20.000mh;hoco;800.000,00;170.000,00;7;https://cdn1-retail-images.kiotviet.vn/2026/08/11/maxpromobile/5e619d95666f4ad8af9cf85c6c492b59.jpeg;11/08/2026 10:49
Hàng hóa;cáp sạc;SP000126;v8+ đế sạc ko dây;hoco;650.000,00;120.000,00;5;https://cdn2-retail-images.kiotviet.vn/2026/08/11/maxpromobile/cdff72d584ef4698a8bcf83b529528fd.jpeg;11/08/2026 10:44
Hàng hóa;cáp sạc;SP000125;20w c-c ss rẻ;hoco;150.000,00;50.000,00;20;https://cdn2-retail-images.kiotviet.vn/2026/08/05/maxpromobile/49b623d4ccd64687a8b9147a715856ca.jpeg;05/08/2026 21:35
Hàng hóa;phụ kiện;SP000124;Hub tổng hợp 5 in 1;;1.000.000,00;0;5;https://cdn2-retail-images.kiotviet.vn/2026/08/04/maxpromobile/c0954be8441c4253975f1e2767081490.jpeg;04/08/2026 18:45
Hàng hóa;phụ kiện;SP000123;Dây Apple wacht tổng hợp;;300.000,00;200.000,00;24;https://cdn2-retail-images.kiotviet.vn/2026/08/03/maxpromobile/1d9e0be4fcd546c38548ad643f8a13cf.jpeg;03/08/2026 17:23
Hàng hóa;cáp sạc;SP000122;45w annker;apple;1.100.000,00;500.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/07/10/maxpromobile/207eeeeeee104cba909f0b418579a059.jpeg;10/07/2026 18:50
Hàng hóa;sạc dự phòng;SP000121;cd231 sdp anker;apple;900.000,00;350.000,00;18;https://cdn2-retail-images.kiotviet.vn/2026/07/10/maxpromobile/42957955378e46a586fd571a1d5794ef.jpeg;10/07/2026 18:48
Hàng hóa;cáp sạc;SP000120;100w dây baseus cc;Anker;350.000,00;100.000,00;5;https://cdn2-retail-images.kiotviet.vn/2026/07/06/maxpromobile/8dfba51cdde6404d9e546ad795ca9825.jpeg;06/07/2026 22:22
Hàng hóa;cáp sạc;SP000119;20w dây baseus liningt;Anker;300.000,00;300.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/07/06/maxpromobile/5ca8927563d84434b5249390cb1cc43e.jpeg;06/07/2026 22:21
Hàng hóa;cáp sạc;SP000118;củ sạc anker 20w;Anker;450.000,00;450.000,00;3;https://cdn2-retail-images.kiotviet.vn/2026/07/06/maxpromobile/d21b1b6465c6495681864ac2103da774.jpeg;06/07/2026 22:19
Hàng hóa;cáp sạc;SP000116;hdmi 5m;hoco;450.000,00;100.000,00;6;https://cdn2-retail-images.kiotviet.vn/2026/07/01/maxpromobile/830d8681b89e47a1a2c3a668bafd6b85.jpeg;01/07/2026 8:47
Hàng hóa;cáp sạc;SP000115;Cáp sạc macbook magsafe3;apple;1.500.000,00;550.000,00;3;https://cdn2-retail-images.kiotviet.vn/2026/06/22/maxpromobile/ea3507124574471cbf6921d1a9158938.jpeg;22/06/2026 10:07
Hàng hóa;cáp sạc;SP000114;87w macbook;apple;900.000,00;500.000,00;0;https://cdn2-retail-images.kiotviet.vn/2026/06/22/maxpromobile/a2a2d937cf4c4d119d144f0711184557.jpeg;22/06/2026 9:24
Hàng hóa;cáp sạc;SP000113;61w macbook;apple;750.000,00;350.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/06/22/maxpromobile/32689754582d4b68911071229b901c78.jpeg;22/06/2026 9:23
Hàng hóa;phụ kiện;SP000111;ổ cắm du lịch;;350.000,00;0;15;https://cdn2-retail-images.kiotviet.vn/2026/06/15/maxpromobile/8d2d6cecc441477e9f552c8381ba8ca5.jpeg;15/06/2026 9:53
Hàng hóa;phụ kiện;SP000110;airtag;;1.100.000,00;0;2;https://cdn2-retail-images.kiotviet.vn/2026/06/07/maxpromobile/3d0be261f5084ff7bfc87a691f67f894.jpeg;07/06/2026 9:44
Hàng hóa;phụ kiện;SP000109;kích song wifi;hoco;850.000,00;250.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/06/04/maxpromobile/66fbd36142424015aba43512c2e3a49b.jpeg;04/06/2026 17:47
Hàng hóa;sạc dự phòng;SP000108;s164 10.000mah;hoco;600.000,00;250.000,00;18;https://cdn2-retail-images.kiotviet.vn/2026/06/04/maxpromobile/a57ad1d25e3f41a082b6970ad7099dad.jpeg;04/06/2026 17:45
Hàng hóa;phụ kiện;SP000107;Dây đeo;;200.000,00;0;10;https://cdn2-retail-images.kiotviet.vn/2026/06/01/maxpromobile/d98f486877b14d42a6f3e73cd51b02bd.jpeg;01/06/2026 18:38
Hàng hóa;sạc dự phòng;SP000106;j79A;;0;0;2;https://cdn2-retail-images.kiotviet.vn/2026/06/01/maxpromobile/bdbd015ce04d4c859d8a9d820ff7c0b8.jpeg;01/06/2026 18:12
Hàng hóa;sạc dự phòng;SP000105;j79A;;1.000.000,00;0;1;https://cdn2-retail-images.kiotviet.vn/2026/06/01/maxpromobile/fad1aa68727f492abbf26407bd7732d0.jpeg;01/06/2026 18:09
Hàng hóa;sạc dự phòng;SP000104;j146;;650.000,00;0;2;https://cdn2-retail-images.kiotviet.vn/2026/06/01/maxpromobile/4370e3f8a2cb40579baf80966e765f8b.jpeg;01/06/2026 18:07
Hàng hóa;sạc dự phòng;SP000103;j117a;hoco;700.000,00;350.000,00;10;https://cdn2-retail-images.kiotviet.vn/2026/05/25/maxpromobile/13bce1ddc8b949fe8c4d6caf3fb9dc65.jpeg;25/05/2026 8:48
Hàng hóa;cường lực;SP000102;cường lực gg fixel;;150.000,00;0;17;https://cdn2-retail-images.kiotviet.vn/2026/05/14/maxpromobile/33fa57165ab042b6a6b50c038e2eaf23.jpeg;14/05/2026 15:02
Hàng hóa;cường lực;SP000101;cường lực gg fixel;;150.000,00;0;0;;14/05/2026 15:02
Hàng hóa;phụ kiện;SP000100;usb 64;hoco;550.000,00;250.000,00;9;https://cdn2-retail-images.kiotviet.vn/2026/05/06/maxpromobile/6dde0e67052340228b112294fea0f02a.jpeg;06/05/2026 16:27
Hàng hóa;phụ kiện;SP000099;mini fan;hoco;150.000,00;30.000,00;3;https://cdn1-retail-images.kiotviet.vn/2026/05/06/maxpromobile/a0d7416a0fbe436d84c2f4ad46107a5a.jpeg;06/05/2026 16:21
Hàng hóa;phụ kiện;SP000098;q575tk;hoco;950.000,00;450.000,00;3;https://cdn2-retail-images.kiotviet.vn/2026/05/06/maxpromobile/8523b12ed28c4c918c3802c1224efd0f.jpeg;06/05/2026 16:20
Hàng hóa;cáp sạc;SP000096;U139;hoco;300.000,00;200.000,00;7;https://cdn2-retail-images.kiotviet.vn/2026/04/20/maxpromobile/d243fdbeef3b40bcab643a195d41f26b.jpeg;20/04/2026 17:26
Hàng hóa;cáp sạc;SP000095;3 đầu dây vải;hoco;300.000,00;150.000,00;9;https://cdn1-retail-images.kiotviet.vn/2026/04/20/maxpromobile/097785d415f34f83b89d9977edad7193.jpeg;20/04/2026 17:23
Hàng hóa;vi tính;SP000094;chuột có dây;;200.000,00;100.000,00;10;https://cdn2-retail-images.kiotviet.vn/2026/04/20/maxpromobile/504de280eecd47c8a5d13db68d025b04.jpeg;20/04/2026 17:20
Hàng hóa;phụ kiện;SP000093;128;hoco;750.000,00;400.000,00;19;https://cdn2-retail-images.kiotviet.vn/2026/04/20/maxpromobile/6c5b59ca862f45539a204301ec54e42f.jpeg;20/04/2026 10:26
Hàng hóa;cường lực;SP000092;cường lực androi;hoco;150.000,00;20.000,00;172;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/675a40844da74f78aeb4c9494be3b81e.jpeg;19/04/2026 18:28
Hàng hóa;phụ kiện;SP000091;thẻ 256;hoco;1.000.000,00;500.000,00;20;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/8db3ad9f5ec8405da734ade099cb9612.jpeg;19/04/2026 18:25
Hàng hóa;phụ kiện;SP000090;thẻ nhớ 64gb;hoco;500.000,00;200.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/74b2fa1eb06d4fd08d139134d928deff.jpeg;19/04/2026 18:24
Hàng hóa;phụ kiện;SP000089;usb 16;hoco;400.000,00;100.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/05/06/maxpromobile/0a44acb558cb43d88e7b915fc59d143c.png;19/04/2026 18:24
Hàng hóa;phụ kiện;SP000088;pdf full đời;hoco;200.000,00;20.000,00;100;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/1d43757dabd74ccfa6f5f416b758cfad.jpeg;19/04/2026 18:23
Hàng hóa;phụ kiện;SP000087;dây nguồn nồi cơm;hoco;150.000,00;30.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/d48873e99a254bb48ab8da495b7e8bff.jpeg;19/04/2026 18:15
Hàng hóa;phụ kiện;SP000086;hdmi 3m;hoco;350.000,00;100.000,00;5;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/19f3b759891b4e37bbb271eb94434bba.jpeg;19/04/2026 18:15
Hàng hóa;phụ kiện;SP000085;mắt cam cho ip;hoco;200.000,00;70.000,00;54;https://cdn1-retail-images.kiotviet.vn/2026/04/19/maxpromobile/9ca5d00e523d4e0cb29a4fafb315299f.jpeg;19/04/2026 18:14
Hàng hóa;phụ kiện;SP000084;hdmi 1,5 m;hoco;250.000,00;50.000,00;12;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/555e35d05d30488998bb6c17aae70f8a.jpeg;19/04/2026 18:13
Hàng hóa;cường lực;SP000083;cường lực màn cong;hoco;300.000,00;100.000,00;9;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/d0301112030249f3a17c16630a951830.jpeg;19/04/2026 18:08
Hàng hóa;phụ kiện;SP000082;gm26 quạt tản nhiệt điện thoại;hoco;350.000,00;150.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/8a88881e5fb7415f98aa9d14953b9d3b.jpeg;19/04/2026 18:04
Hàng hóa;phụ kiện;SP000081;giá đỡ xe máy +oto;hoco;250.000,00;100.000,00;6;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/bc2b0f34eb8747f9992656d7ab594c94.jpeg;19/04/2026 17:59
Hàng hóa;cường lực;SP000080;cnt 4d;hoco;350.000,00;30.000,00;144;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/42f13393e5da4d2b8d0901db52b166c5.jpeg;19/04/2026 17:58
Hàng hóa;cường lực;SP000079;cvt full;hoco;150.000,00;20.000,00;215;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/8cc28b666d7642629035266484489f70.jpeg;19/04/2026 17:58
Hàng hóa;cường lực;SP000078;cnt 2d;hoco;250.000,00;20.000,00;371;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/26e50af594b84508837015726cd2b3f0.jpeg;19/04/2026 17:56
Hàng hóa;sạc dự phòng;SP000077;sạc dự phòng iphone ko dây;apple;600.000,00;200.000,00;4;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/188adb8730a748ec9d1381a4236126a4.jpeg;19/04/2026 17:47
Hàng hóa;phụ kiện;SP000076;kệ điện thoại;hoco;200.000,00;50.000,00;3;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/65cae7a026c94d0cac4acf56318fc565.jpeg;19/04/2026 17:46
Hàng hóa;cường lực;SP000075;9d full đời;hoco;150.000,00;20.000,00;505;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/266247b40c0b4230ada30d24ae2b7bff.jpeg;19/04/2026 17:18
Hàng hóa;phụ kiện;SP000074;phát wifi;hoco;1.100.000,00;550.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/5a4dc8329472481db3225f7852a1a308.jpeg;19/04/2026 17:01
Hàng hóa;sạc dự phòng;SP000073;j79;hoco;600.000,00;250.000,00;0;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/f9f3c44e29d44fcd848caaf826f64e2f.jpeg;19/04/2026 17:00
Hàng hóa;sạc dự phòng;SP000072;j160b 2000mah ko dây;hoco;1.050.000,00;450.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/a29ffc8cb37f400e907217d7a1e647b1.jpeg;19/04/2026 16:59
Hàng hóa;sạc dự phòng;SP000071;s144 200mah;hoco;950.000,00;300.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/ec43865c842a4d3dae55a9b14efd7350.jpeg;19/04/2026 16:58
Hàng hóa;sạc dự phòng;SP000070;j132a 2000mah;hoco;950.000,00;400.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/7548bcc8170941798b3b85c655ff1c05.jpeg;19/04/2026 16:57
Hàng hóa;sạc dự phòng;SP000069;thm502;hoco;750.000,00;400.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/945ef9bd6a0c4ef2aa4260b8c85ba35f.jpeg;19/04/2026 16:55
Hàng hóa;sạc dự phòng;SP000068;j141;hoco;650.000,00;350.000,00;3;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/93fce4f9ea4544a497d2db42e8cfdd2e.jpeg;19/04/2026 16:54
Hàng hóa;phụ kiện;SP000067;túi chống nước;hoco;100.000,00;20.000,00;0;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/3011f3ab7a0c47b1b5c78768b37c421f.jpeg;19/04/2026 16:47
Hàng hóa;phụ kiện;SP000066;ốp lưng trong rẻ;hoco;150.000,00;20.000,00;147;https://cdn2-retail-images.kiotviet.vn/2026/04/19/maxpromobile/792496e77f2d49c081309be915a3f952.jpeg;19/04/2026 16:40
Hàng hóa;phụ kiện;SP000065;tai nghe trùm;hoco;800.000,00;300.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/058c82a6181747c7b9634357e295fe23.jpeg;18/04/2026 19:39
Hàng hóa;vi tính;SP000064;d500;hoco;600.000,00;350.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/044f055fbdd141668473b2df97d4a4cb.jpeg;18/04/2026 19:38
Hàng hóa;phụ kiện;SP000063;hc34;hoco;550.000,00;200.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/cd294fd7fce545e3a8ad9c3bc94e3acb.jpeg;18/04/2026 19:37
Hàng hóa;phụ kiện;SP000062;loa vi tính;hoco;450.000,00;200.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/83785db9e97f42edbec801493759e695.jpeg;18/04/2026 19:37
Hàng hóa;phụ kiện;SP000061;hc22;hoco;600.000,00;250.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/3505672ebaa349d9bd1d6c54b6da8e0c.jpeg;18/04/2026 19:36
Hàng hóa;gậy tự sướng;SP000060;3388;hoco;500.000,00;200.000,00;3;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/07bc44db9e1f48c4bb1578320a448d1e.jpeg;18/04/2026 19:29
Hàng hóa;gậy tự sướng;SP000059;p185;hoco;600.000,00;250.000,00;4;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/044c313db99e4da885324375e8b9f431.jpeg;18/04/2026 19:29
Hàng hóa;phụ kiện;SP000058;power supply 12v;hoco;200.000,00;50.000,00;4;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/0078cffd19c5498b9b8cf8159d5820d8.jpeg;18/04/2026 19:24
Hàng hóa;cáp sạc;SP000057;Cáp sạc macbook;apple;500.000,00;200.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/b7be0bacbebb42a3a2dbbfcc3847d959.jpeg;18/04/2026 19:22
Hàng hóa;phụ kiện;SP000056;adaptor all in one ko có cổng sạc;hoco;250.000,00;100.000,00;0;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/209af9cbbfd74a1d9e91e6cd8f0b6985.jpeg;18/04/2026 19:20
Hàng hóa;phụ kiện;SP000055;adaptor all in one 6a;hoco;650.000,00;250.000,00;0;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/76fb798e81e3463fac31fe5c35ce8f98.jpeg;18/04/2026 19:20
Hàng hóa;phụ kiện;SP000054;ốp ipad;hoco;300.000,00;150.000,00;6;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/1b592fe6d0af4d80bd4eb583e32ebb17.png;18/04/2026 19:17
Hàng hóa;cường lực;SP000053;cường lực ipad full;hoco;250.000,00;50.000,00;4;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/b85a538e0f1c473b813fe000b512c1aa.jpeg;18/04/2026 19:16
Hàng hóa;cáp sạc;SP000052;35w;hoco;350.000,00;100.000,00;0;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/c92b641380494d229dfc4e193fc1a24d.jpeg;18/04/2026 19:15
Hàng hóa;phụ kiện;SP000051;n1 mic go check;hoco;1.200.000,00;300.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/ed3570bd979e4e039f17a818af51a804.jpeg;18/04/2026 19:14
Hàng hóa;phụ kiện;SP000050;kệ macbook;hoco;400.000,00;200.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/4768875a0ee843a38f15e6b0f073434a.jpeg;18/04/2026 19:13
Hàng hóa;cáp sạc;SP000049;củ 2-3;hoco;100.000,00;20.000,00;147;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/6f5d3ceb38b7421394b926e0273af9f2.jpeg;18/04/2026 19:12
Hàng hóa;cáp sạc;SP000048;Pin cmos cr2032;hoco;100.000,00;20.000,00;44;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/8a01e0169b1e426cbd433a40ae2ee9e0.jpeg;18/04/2026 19:11
Hàng hóa;cáp sạc;SP000047;dây c rẻ;hoco;100.000,00;20.000,00;10;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/61b45fc3c7a54606bbc98a92fd4b272f.jpeg;18/04/2026 19:07
Hàng hóa;cáp sạc;SP000046;dây micro rẻ;hoco;100.000,00;20.000,00;13;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/171ab61c49a14b8684df8796fc2d3c3a.jpeg;18/04/2026 19:05
Hàng hóa;cáp sạc;SP000045;củ rẻ usb ip+ss;hoco;150.000,00;50.000,00;23;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/9d5a1048784d413d80774e1a9ab07863.jpeg;18/04/2026 19:04
Hàng hóa;cáp sạc;SP000044;2m 5a ss rin;hoco;300.000,00;150.000,00;1;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/b1a51569263449bcbaf256e1d1281631.jpeg;18/04/2026 19:02
Hàng hóa;cáp sạc;SP000043;20w rin ip;apple;450.000,00;200.000,00;23;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/595fb908988e4f85b3ef1a5aa0ed44e8.jpeg;18/04/2026 18:59
Hàng hóa;cáp sạc;SP000042;20w rin c-c;apple;450.000,00;200.000,00;4;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/a5ebd80e87454f07be4387bda95d7acd.jpeg;18/04/2026 18:58
Hàng hóa;cáp sạc;SP000041;20w rin ip linghning;apple;350.000,00;150.000,00;15;https://cdn1-retail-images.kiotviet.vn/2026/04/18/maxpromobile/3dd6e1d9b4674e8888f899d981bba0bf.jpeg;18/04/2026 18:57
Hàng hóa;cáp sạc;SP000040;củ ss rin usb;hoco;250.000,00;100.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/fc019ff55dd944c587a2ce977973efe6.jpeg;18/04/2026 18:55
Hàng hóa;cáp sạc;SP000039;45w ss rin;hoco;500.000,00;250.000,00;2;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/bc8c96d851a3402bad2d855c322b9363.jpeg;18/04/2026 18:52
Hàng hóa;cáp sạc;SP000038;20w ss rin;hoco;300.000,00;150.000,00;6;https://cdn2-retail-images.kiotviet.vn/2026/04/18/maxpromobile/bef8e35a05ad44c9ba275224bd778512.jpeg;18/04/2026 18:51
